account_id,Sum of awg_engagement_rate,Sum of comment_engagement_rate,create_time,Sum of followers,Sum of following,is_ad_virtual,is_verified,like_count,Sum of like_engagement_rate,Sum of likes,open_favorite,top_videos,timestamp,Sum of videos_count
"'@._aa7aa""",0.7666666666666667,,https://www.tiktok.com/@ug_10,23,2,null,,null,,,1,,,
"'@ballestarbosa   -   segue laaaa""",1.1308411214953271,,https://www.tiktok.com/@tauzz_,242,2,null,,null,,,null,,,
"'@ksyahhh husband 💍""",0.24819534459151074,,https://www.tiktok.com/@xrainartsx,615400,40,null,,null,,,3,,,
"'@Mhiz_Qwin_Ese""",0.06369282891022021,,https://www.tiktok.com/@qwinese33,581,44,null,,null,,,null,,,
"'@ovmarida""",0.6370967741935484,,https://www.tiktok.com/@idaovmar,947,4,null,,null,,,null,,,
"'@rajkumarmukhiya""",0.043057354846307856,,https://www.tiktok.com/@r_k_m_rajkumar345,95000,644,null,,null,,,null,,,
_duwik15,0.6261140819964349,0.02718360071301248,null,68,45,false,false,null,0.5989304812834225,1651,null,"https://www.tiktok.com/@_duwik15/video/7160547648464833818,https://www.tiktok.com/@_duwik15/video/7153572307280088347,https://www.tiktok.com/@_duwik15/video/7151414063581433114,https://www.tiktok.com/@_duwik15/video/7146257011678776603,https://www.tiktok.com/@_duwik15/video/7139200887527902490,https://www.tiktok.com/@_duwik15/video/7138337307412679938,https://www.tiktok.com/@_duwik15/video/7095730065228434714,https://www.tiktok.com/@_duwik15/video/7094253345589742874,https://www.tiktok.com/@_duwik15/video/7090911153471180059,https://www.tiktok.com/@_duwik15/video/7088950240333663515,https://www.tiktok.com/@_duwik15/video/7087968060597931291,https://www.tiktok.com/@_duwik15/video/7087455311132445978,https://www.tiktok.com/@_duwik15/video/7084823440678456602,https://www.tiktok.com/@_duwik15/video/7083482409223720218,https://www.tiktok.com/@_duwik15/video/7083402243516517659,https://www.tiktok.com/@_duwik15/video/7082745260589223194,https://www.tiktok.com/@_duwik15/video/7078972188753284378,https://www.tiktok.com/@_duwik15/video/7074419481014963483,https://www.tiktok.com/@_duwik15/video/7073858573700271386,https://www.tiktok.com/@_duwik15/video/7070374050471742747,https://www.tiktok.com/@_duwik15/video/7065245578384411931,https://www.tiktok.com/@_duwik15/video/7060485203172674842,https://www.tiktok.com/@_duwik15/video/7058962469225598235,https://www.tiktok.com/@_duwik15/video/7058597023171235098,https://www.tiktok.com/@_duwik15/video/7058458618705890586,https://www.tiktok.com/@_duwik15/video/7058171836550466842,https://www.tiktok.com/@_duwik15/video/7057740648371326234,https://www.tiktok.com/@_duwik15/video/7053340366355057946,https://www.tiktok.com/@_duwik15/video/7052324082469145883,https://www.tiktok.com/@_duwik15/video/7050039382212103450,https://www.tiktok.com/@_duwik15/video/7047068718244924699,https://www.tiktok.com/@_duwik15/video/7039707989321796890,https://www.tiktok.com/@_duwik15/video/7036320968767294747",2023-08-06 00:00:00,39
_everec,0.006249880362167647,0.0006604008345935185,null,3073,302,false,false,null,0.005589479527574127,195600,null,"https://www.tiktok.com/@_everec/video/7216055206134533381,https://www.tiktok.com/@_everec/video/7215129888125209861,https://www.tiktok.com/@_everec/video/7200006152686406918,https://www.tiktok.com/@_everec/video/7159323847722798342,https://www.tiktok.com/@_everec/video/7159229054866967814,https://www.tiktok.com/@_everec/video/7157623324481162501,https://www.tiktok.com/@_everec/video/7156605091858910470,https://www.tiktok.com/@_everec/video/7114742996268043526,https://www.tiktok.com/@_everec/video/7096550054957272326,https://www.tiktok.com/@_everec/video/7096258107042434309,https://www.tiktok.com/@_everec/video/7095498481741204742,https://www.tiktok.com/@_everec/video/7093936264059178246,https://www.tiktok.com/@_everec/video/7093300092467301638,https://www.tiktok.com/@_everec/video/7059072528181988614,https://www.tiktok.com/@_everec/video/7058921715040013574,https://www.tiktok.com/@_everec/video/7040835647174708485,https://www.tiktok.com/@_everec/video/7040635659828088070,https://www.tiktok.com/@_everec/video/7031082522540920069,https://www.tiktok.com/@_everec/video/7026042328888462598,https://www.tiktok.com/@_everec/video/7024217277327346949,https://www.tiktok.com/@_everec/video/7018408554361130246,https://www.tiktok.com/@_everec/video/7017311094851095814,https://www.tiktok.com/@_everec/video/7015442592313756933,https://www.tiktok.com/@_everec/video/7015066435496021253,https://www.tiktok.com/@_everec/video/7014576899192048902,https://www.tiktok.com/@_everec/video/7013888690728619269,https://www.tiktok.com/@_everec/video/7012009805636275461,https://www.tiktok.com/@_everec/video/7011611255546842373,https://www.tiktok.com/@_everec/video/7007482430579805445,https://www.tiktok.com/@_everec/video/7006454157729189125,https://www.tiktok.com/@_everec/video/7005367249892576517,https://www.tiktok.com/@_everec/video/7004651108924738822,https://www.tiktok.com/@_everec/video/7003043576846273798,https://www.tiktok.com/@_everec/video/7002753131213835525",2023-08-06 00:00:00,93
_f281,0.6666666666666666,0.030303030303030304,null,11,16,false,false,null,0.6363636363636364,33,null,"https://www.tiktok.com/@_f281/video/6994280840301677850,https://www.tiktok.com/@_f281/video/6993870273627966746,https://www.tiktok.com/@_f281/video/6993869212930379034",2023-08-06 00:00:00,3
_hiko_hi,1.5437556357078448,0.015016746103310575,null,8872,39,false,false,null,1.5287388896045342,770900,null,"https://www.tiktok.com/@_hiko_hi/video/7069758480407694594,https://www.tiktok.com/@_hiko_hi/video/7067603980666424577,https://www.tiktok.com/@_hiko_hi/video/7063777458574593282,https://www.tiktok.com/@_hiko_hi/video/7060444785789652226,https://www.tiktok.com/@_hiko_hi/video/7060421174961966338,https://www.tiktok.com/@_hiko_hi/video/7060359404184472833,https://www.tiktok.com/@_hiko_hi/video/7055938772856311042,https://www.tiktok.com/@_hiko_hi/video/7052724730666683650,https://www.tiktok.com/@_hiko_hi/video/7051935007505517826,https://www.tiktok.com/@_hiko_hi/video/7044954868955516162,https://www.tiktok.com/@_hiko_hi/video/7043753700166257921,https://www.tiktok.com/@_hiko_hi/video/7043473514942287105,https://www.tiktok.com/@_hiko_hi/video/7043471289608162561,https://www.tiktok.com/@_hiko_hi/video/7042944711157452034,https://www.tiktok.com/@_hiko_hi/video/7042338730924854529,https://www.tiktok.com/@_hiko_hi/video/7042333293601213697,https://www.tiktok.com/@_hiko_hi/video/7041567480904502530,https://www.tiktok.com/@_hiko_hi/video/7035958469995810049,https://www.tiktok.com/@_hiko_hi/video/7035625128973110529,https://www.tiktok.com/@_hiko_hi/video/7034923972676324610,https://www.tiktok.com/@_hiko_hi/video/7034380236024220929,https://www.tiktok.com/@_hiko_hi/video/7031583462507269378,https://www.tiktok.com/@_hiko_hi/video/7027802820589915393,https://www.tiktok.com/@_hiko_hi/video/7026191598341868801,https://www.tiktok.com/@_hiko_hi/video/7026191269437230338,https://www.tiktok.com/@_hiko_hi/video/7024101092153658626,https://www.tiktok.com/@_hiko_hi/video/7019979736566861057,https://www.tiktok.com/@_hiko_hi/video/7019979040727551233,https://www.tiktok.com/@_hiko_hi/video/7019977334220442882,https://www.tiktok.com/@_hiko_hi/video/7017414421232356610,https://www.tiktok.com/@_hiko_hi/video/7015864045152505089,https://www.tiktok.com/@_hiko_hi/video/7015594167225027841,https://www.tiktok.com/@_hiko_hi/video/7012225346183499009,https://www.tiktok.com/@_hiko_hi/video/7011926705363258625,https://www.tiktok.com/@_hiko_hi/video/7011851662558055682",2023-08-08 00:00:00,166
_kurtqmsdeleonjk,0.05506149479659414,0.0014191106906338697,null,1057,1045,false,false,null,0.05364238410596026,1854,null,"https://www.tiktok.com/@_kurtqmsdeleonjk/video/7083726138559696155,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7083712944269233434,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7083360589170478363,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7083358768255241498,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7083141971174313243,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7078498773294533915,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7076662888089357595,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7075880692470615322,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7075861309849472282,https://www.tiktok.com/@_kurtqmsdeleonjk/video/7072015983275183386",2023-07-29 00:00:00,10
_lierhe,1.1022222222222222,0.04444444444444444,null,75,1,false,false,null,1.0577777777777777,476,null,"https://www.tiktok.com/@_lierhe/video/7099137989246291226,https://www.tiktok.com/@_lierhe/video/7098715394013220122,https://www.tiktok.com/@_lierhe/video/7091931993277091098,https://www.tiktok.com/@_lierhe/video/7087189569728187674,https://www.tiktok.com/@_lierhe/video/7086047692391976218,https://www.tiktok.com/@_lierhe/video/7085807696976432411",2023-07-29 00:00:00,6
_mhm_mh,0.2923497267759563,0.03551912568306011,null,244,1831,false,false,null,0.2568306010928961,418,null,"https://www.tiktok.com/@_mhm_mh/video/7259215524914007339,https://www.tiktok.com/@_mhm_mh/video/7258117016006135086,https://www.tiktok.com/@_mhm_mh/video/7237572443878133038",2023-07-29 00:00:00,3
